202698,202698
201807,201807
202149,202149
202528,202528
202593,202593
202594,202594
202419,202419
202476,202476
202477,202477
202534,202534
202489,202489
202520,202520
202535,202535
202480,202480
202479,202479
202526,202526
202605,202605
202611,202611
201431,201431
202069,202069
202161,202161
201336,201336
202529,202529
201154,201154
202226,202226
201910,201910
202589,202589
701245,109010
702254,109310
702243,105320
701239,105450
701246,105330
700329,105500
700324,105420
702247,105340
700326,105490
702248,105350
700325,105440
702242,105390
701244,109000
702231,105590
702241,105410
700327,109220
702252,105720
700334,105580
700331,105530
700307,105280
702227,105670
702232,105570
700335,105600
700333,109240
701234,109290
702233,105560
702258,105780
105660,105660
701251,109300
105550,105550
702235,105520
700314,105160
702268,105700
700304,105170
700300,105260
701223,105290
700305,109340
700303,105200
700315,105150
700302,105220
700306,105620
701267,105710
702265,105740
701253,109090
702224,105310
700316,105120
700317,105110
700296,102720
700301,105240
700353,105140
701269,105680
700309,109250
700299,105380
700343,102500
7001006,109530
701293,102740
701189,106030
700338,102480
7001002,102890
701190,106010
702182,106090
702282,102760
700337,109360
701183,106080
701179,108930
701180,106020
7001003,109550
702186,106050
702188,109100
700340,102460
700341,102440
701168,106940
701184,106070
701176,106690
700166,102700
701175,106700
700169,101009
700321,105010
700320,105030
701177,106680
700319,105070
701236,105510
700297,102820
700483,102520
702167,106950
700346,102450
701019,106840
702238,105460
701197,106200
701211,106100
700724,105180
700298,105370
701196,106180
702149,102670
7001010,101043
700318,105090
700351,109210
701195,106170
701164,106730
700311,105230
700723,105040
702249,105360
7001009,101018
700360,108670
700361,108650
700365,108590
700368,108640
700370,108550
702371,109170
700372,108780
700701,108680
700367,108600
7001001,101030
700443,108380
700444,108410
700442,108370
700693,108570
105190,105190
702412,109180
702413,109350
701419,108760
701420,109280
700414,108750
701416,108740
702415,108730
101037,101037
110051,110051
700577,107020
700580,107050
700584,107070
700588,107110
700607,107140
700608,107150
700610,107170
700611,107180
700612,107190
700613,107200
700614,107350
700615,107210
700616,107220
700618,107230
700619,107240
700620,107250
700621,107260
700622,107270
700623,107540
700624,107280
700625,107620
700626,107430
700627,107290
700628,107300
700629,107650
700631,107610
700632,107320
700633,107330
700634,107340
700645,105850
700647,107690
700648,105840
700649,106390
700650,107680
700651,105800
700652,105810
700653,105820
700654,107670
700655,102980
700656,101006
700661,105950
700662,102970
700663,102960
700664,102950
700665,102940
700666,102930
700672,107580
700673,107360
700674,107530
700675,107370
700676,107380
700677,107390
700678,107400
700679,107410
700982,107590
700984,107640
700986,107560
700987,106000
700988,107660
700989,107550
700990,107470
700991,107480
700992,107450
7001028,106980
7001116,101026
7001117,101064
7001118,101041
7001120,101029
7001122,110055
7001123,101120
7001124,101097
7001125,110059
7001131,101038
7001132,101085
7001142,101058
7001145,101102
7001147,101039
7001150,101069
7001151,101092
7001153,110067
7001177,110061
7001183,105880
7001196,7001196
7001336,110072
7001339,103020
7001363,110058
700576,107010
700579,107040
700578,107030
700585,107080
700587,107100
700586,107090
700590,107130
700979,107490
700981,107460
700589,107120
700980,105870
700819,101032
700812,101083
700837,101003
700835,101047
700540,109850
700531,109860
700530,102020
700538,102240
700536,102110
700539,109870
700537,102140
700798,101048
700791,110024
700825,101025
700545,102280
700829,101111
700820,101050
700821,101088
700853,106380
700846,101046
700794,110035
700782,700782
700817,110010
700808,101031
700810,101034
700857,101044
700859,101001
700548,102150
106350,106350
109910,109910
101053,101053
700847,101028
700797,101076
700547,109810
700542,105890
7001338,7001338
700842,110031
700855,101090
700533,109800
700549,102220
700125,109970
700816,110054
700841,106370
700801,101011
700839,110013
700833,101100
700850,700850
700852,101073
700851,101054
700854,101094
700811,108980
700546,109980
700541,110079
700532,109990
700544,102230
700543,109890
700534,109840
106360,106360
700827,101080
700844,101093
700838,101049
7001341,110060
7001330,110033
700194,101079
700734,102690
701152,106920
701137,106620
701144,108990
702145,106630
701148,106850
701156,106880
701158,106860
701159,108920
701162,106570
701198,106210
701201,106250
701204,106240
701212,106280
701214,106300
701259,106510
701261,106490
701263,106440
701479,109050
702142,106640
702146,106610
702161,106580
702172,106540
702173,106550
702191,106130
702199,109110
702203,106270
702207,106160
702208,108950
702218,106430
702219,106450
702220,106460
702222,106260
702437,109150
7021162,106790
701250,105690
701153,106930
7001144,101059
701205,106220
700473,109680
700452,109740
700680,102160
700515,109720
700788,102200
700787,109690
700687,109830
700432,102040
700684,102320
700685,101000
700519,109730
