16517316,1651,Inter-account,-80.00
16516335,1651,Grant,-5917.89
16511144,1651,Staff T & S,6127.54
16511156,1651,Bank charges,331.03
16511129,1651,Refreshments,19.80
258101,1651,Retained income,-386.00
211603,1651,Water and Sanitation - CBZ,-94.48
