1010007700,88,4,L-40000,39950,50,,0,0
1010007700,3,3,REF-68.45,53.57,14.88,,0,0
2080000200,88,4,L-108.10,70,38.1,L-200,150,50
2080000200,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
2080000200,3,3,,0,0,L-200,150,50
2080004600,88,4,L-65000,64950,50,,0,0
1010005600,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010000400,3,3,REF-68.45,53.57,14.88,68.45,53.57,14.88
1010000400,88,4,L-65000,64950,50,,0,0
1010004100,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010004600,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010004300,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010007900,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010004500,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010005200,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010003000,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008000,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010003700,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008100,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008200,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010005900,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010005400,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008300,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008400,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008500,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010006200,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010006000,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010005300,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010004700,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010004800,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008800,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008800,88,4,L-40000,39950,50,,0,0
1010007200,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010006400,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010003300,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
10110004400,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010006300,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010008900,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
1010007300,3,3,REF-68.45,53.57,14.88,REF-68.45,53.57,14.88
